,ID,MAASQ1_1_6,MAASQ2_1_6,MAASQ3_1_6,MAASQ4_1_6,MAASQ5_1_6,MAASQ6_1_6,MAASQ7_1_6,MAASQ8_1_6,MAASQ9_1_6,MAASQ10_1_6,MAASQ11_1_6,MAASQ12_1_6,MAASQ13_1_6,MAASQ14_1_6,MAASQ15_1_6,SPANEQ1_1_5,SPANEQ2_1_5,SPANEQ3_1_5,SPANEQ4_1_5,SPANEQ5_1_5,SPANEQ6_1_5,SPANEQ7_1_5,SPANEQ8_1_5,SPANEQ9_1_5,SPANEQ10_1_5,SPANEQ11_1_5,SPANEQ12_1_5,PWBQ1_1_7,PWBQ2_1_7,PWBQ3_1_7,PWBQ4_1_7,PWBQ5_1_7,PWBQ6_1_7,PWBQ7_1_7,PWBQ8_1_7,PSTQ1_0_1,PSTQ2_0_1,PSTQ3_0_1,PSTQ4_0_1,PSTQ5_0_1,PSTQ6_0_1,PSTQ7_0_1,PSTQ8_0_1,PSTQ9_0_1,PSTQ10_0_1,PSTQ11_0_1,PSTQ12_0_1,PSTQ13_0_1,PSTQ14_0_1,PSTQ15_0_1,PSTQ16_0_1,PSTQ17_0_1,PSTQ18_0_1,PSTQ19_0_1,PSTQ20_0_1,PSTQ21_0_1,PSTQ22_0_1,SEQ1_1_4,SEQ2_1_4,SEQ3_1_4,SEQ4_1_4,SEQ5_1_4,SEQ6_1_4,SEQ7_1_4,SEQ8_1_4,SEQ9_1_4,SEQ10_1_4,PPHQ1_1_5,PPHQ2_1_5,PPHQ3_1_5,PPHQ4_1_5,PPHQ5_1_5,PPHQ6_1_5,PPHQ7_1_5,PPRQ1_1_10,PPRQ2_1_10,PPRQ3_1_10,PPOQ1_1_7,Age,Gender_0_1,Occupation_0_1,Living_1_4,t,Experiment_1_2
111,139,Very frequently,Somewhat infrequently,Almost always,Very frequently,Almost always,Almost always,Very frequently,Very frequently,Very frequently,Very frequently,Almost always,Somewhat frequently,Almost always,Very frequently,Almost always,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Very rarely or never,Very rarely or never,Rarely,Sometimes,Disagree,Disagree,Slightly disagree,Agree,Mixed or neither agree nor disagree,Slightly disagree,Slightly disagree,Disagree,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Rather true,Hardly true,Not true,Rather true,Hardly true,Not true,Hardly true,Hardly true,Rather true,Hardly true,Some of the time,Most of the time,A little of the time,Most of the time,Most of the time,All of the time,Most of the time,8,8,6,You were somewhat better than other workers,54,1,2,1,0,1
112,139,Very frequently,Very infrequently,Very frequently,Very frequently,Almost always,Very frequently,Very frequently,Very frequently,Almost always,Almost always,Very frequently,Very infrequently,Almost always,Very frequently,Almost always,Often,Sometimes,Often,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Very often or always,Often,Often,Slightly agree,Mixed or neither agree nor disagree,Agree,Slightly agree,Agree,Agree,Strongly agree,Slightly agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Rather true,Rather true,Not true,Hardly true,Rather true,Hardly true,Rather true,Hardly true,Hardly true,Hardly true,Most of the time,Some of the time,A little of the time,Most of the time,Most of the time,Most of the time,Most of the time,7,8,9,You were somewhat better than other workers,54,1,2,1,1,1
113,140,Very infrequently,Almost never,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Almost always,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Almost never,Somewhat frequently,Somewhat infrequently,Almost never,Often,Rarely,Often,Rarely,Often,Often,Often,Often,Often,Often,Sometimes,Sometimes,Agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,A little of the time,Some of the time,Some of the time,None of the time,Some of the time,None of the time,6,9,9,You were somewhat better than other workers,51,2,2,4,0,1
114,140,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Very infrequently,Almost never,Very infrequently,Somewhat frequently,Almost never,Somewhat frequently,Very infrequently,Almost never,Often,Rarely,Often,Rarely,Often,Sometimes,Often,Often,Often,Often,Sometimes,Sometimes,Agree,Agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Hardly true,Most of the time,None of the time,Some of the time,Some of the time,None of the time,Some of the time,None of the time,7,9,8,You were somewhat better than other workers,51,2,2,4,1,1
116,142,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Very frequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Somewhat frequently,Often,Often,Sometimes,Often,Often,Very often or always,Often,Very often or always,Very often or always,Often,Often,Often,Agree,Agree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,Agree,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Rather true,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,A little of the time,7,7,6,You were a little better than other workers,38,1,2,3,0,1
117,143,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Almost never,Somewhat infrequently,Somewhat infrequently,Very infrequently,Often,Often,Often,Often,Often,Sometimes,Very often or always,Often,Rarely,Often,Often,Very often or always,Slightly agree,Slightly agree,Strongly agree,Agree,Agree,Agree,Agree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Rather true,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,Some of the time,A little of the time,6,6,8,You were about average,43,1,2,3,0,1
119,145,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Slightly agree,Agree,Agree,Strongly agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Agree,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Most of the time,Some of the time,A little of the time,A little of the time,A little of the time,A little of the time,None of the time,8,9,9,You were somewhat better than other workers,43,1,2,4,1,1
120,146,Somewhat infrequently,Very infrequently,Almost never,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Almost never,Almost never,Very infrequently,Very infrequently,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Very often or always,Very often or always,Very often or always,Often,Agree,Strongly agree,Agree,Strongly agree,Mixed or neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Most of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,8,10,10,You were a little better than other workers,57,1,2,3,0,1
121,146,Somewhat frequently,Somewhat infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Very frequently,Often,Often,Very often or always,Sometimes,Often,Often,Often,Very often or always,Very often or always,Often,Often,Very often or always,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Agree,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Rather true,Most of the time,A little of the time,A little of the time,A little of the time,A little of the time,Some of the time,A little of the time,8,9,9,You were somewhat better than other workers,57,1,2,3,1,1
122,102,Somewhat frequently,Almost never,Very frequently,Very infrequently,Somewhat infrequently,Very infrequently,Somewhat infrequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Almost never,Almost never,Very frequently,Somewhat infrequently,Almost never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Agree,Agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Most of the time,None of the time,Some of the time,Some of the time,Some of the time,Most of the time,Some of the time,7,8,5,You were somewhat worse than other workers,61,1,2,4,0,2
123,102,Very frequently,Very infrequently,Very frequently,Somewhat infrequently,Somewhat frequently,Very infrequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Almost never,Very frequently,Very infrequently,Very infrequently,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Exactly true,Rather true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Hardly true,Rather true,Hardly true,Most of the time,A little of the time,Some of the time,A little of the time,None of the time,Most of the time,Some of the time,7,9,8,You were somewhat better than other workers,61,1,2,4,1,2
124,112,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very infrequently,Very infrequently,Somewhat frequently,Very frequently,Very frequently,Almost always,Almost always,Very frequently,Very infrequently,Almost always,Almost always,Almost always,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very rarely or never,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly disagree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Exactly true,Exactly true,Hardly true,Rather true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Exactly true,Most of the time,A little of the time,Some of the time,Most of the time,Some of the time,Most of the time,Some of the time,6,6,5,You were a little better than other workers,31,2,2,3,0,2
125,141,Somewhat infrequently,Almost never,Very frequently,Somewhat infrequently,Somewhat frequently,Very frequently,Very infrequently,Very infrequently,Very frequently,Very infrequently,Somewhat frequently,Very infrequently,Almost always,Very infrequently,Almost never,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Very often or always,Rarely,Very often or always,Sometimes,Slightly disagree,Mixed or neither agree nor disagree,Disagree,Slightly agree,Agree,Agree,Agree,Agree,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,Rather true,A little of the time,Some of the time,Some of the time,Most of the time,Most of the time,Most of the time,None of the time,6,7,2,You were somewhat worse than other workers,38,2,2,3,0,2
127,123,Very infrequently,Very infrequently,Somewhat infrequently,Almost always,Somewhat infrequently,Very frequently,Somewhat infrequently,Very infrequently,Somewhat frequently,Almost never,Somewhat frequently,Almost never,Somewhat frequently,Somewhat infrequently,Almost never,Often,Sometimes,Often,Often,Often,Very often or always,Often,Very often or always,Rarely,Often,Very often or always,Often,Agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Slightly agree,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Exactly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Rather true,Hardly true,Most of the time,A little of the time,None of the time,Some of the time,A little of the time,Some of the time,A little of the time,6,8,8,You were somewhat better than other workers,36,1,2,4,0,2
130,91,Somewhat frequently,Very infrequently,Somewhat infrequently,Very infrequently,Very frequently,Almost always,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Almost always,Somewhat frequently,Almost always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Often,Very rarely or never,Slightly disagree,Agree,Mixed or neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Rather true,Rather true,Hardly true,Rather true,Hardly true,Not true,Hardly true,Rather true,Rather true,Rather true,Some of the time,Most of the time,A little of the time,Some of the time,Some of the time,Most of the time,Some of the time,8,8,6,You were about average,34,1,2,4,0,2
133,28,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Very frequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Exactly true,Rather true,Hardly true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Some of the time,Some of the time,A little of the time,Some of the time,Some of the time,Some of the time,A little of the time,9,7,6,You were a little worse than other workers,35,2,2,2,0,2
134,99,Somewhat infrequently,Almost always,Almost always,Somewhat frequently,Almost always,Almost always,Almost always,Almost always,Very frequently,Very frequently,Very frequently,Almost always,Almost always,Very frequently,Very frequently,Sometimes,Very rarely or never,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Very rarely or never,Rarely,Sometimes,Sometimes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Strongly disagree,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Not true,Rather true,Not true,Not true,Not true,Hardly true,Rather true,Rather true,Hardly true,Rather true,None of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,7,3,3,You were somewhat worse than other workers,27,2,1,1,0,2
135,100,Very infrequently,Somewhat infrequently,Almost always,Somewhat frequently,Very frequently,Almost always,Very frequently,Somewhat infrequently,Very infrequently,Very frequently,Almost always,Somewhat infrequently,Almost always,Somewhat frequently,Almost never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Sometimes,Very rarely or never,Sometimes,Sometimes,Rarely,Sometimes,Disagree,Agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Agree,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Exactly true,Exactly true,Rather true,Rather true,Rather true,Rather true,Exactly true,Rather true,Rather true,Rather true,Most of the time,A little of the time,A little of the time,A little of the time,Some of the time,A little of the time,None of the time,6,9,8,You were a lot better than other workers,34,1,2,1,0,2
136,21,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very infrequently,Almost never,Somewhat infrequently,Somewhat infrequently,Almost never,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Slightly agree,Agree,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Rather true,Exactly true,Hardly true,Hardly true,Hardly true,Hardly true,Rather true,Rather true,Rather true,Hardly true,A little of the time,Most of the time,Some of the time,A little of the time,A little of the time,A little of the time,Most of the time,5,6,6,You were a little worse than other workers,30,1,1,4,0,2
137,120,Somewhat infrequently,Almost never,Very infrequently,Somewhat infrequently,Somewhat frequently,Somewhat frequently,Almost never,Somewhat infrequently,Somewhat infrequently,Almost never,Very frequently,Almost never,Somewhat infrequently,Almost never,Somewhat frequently,Often,Often,Often,Often,Often,Often,Very often or always,Sometimes,Very often or always,Very often or always,Sometimes,Sometimes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Exactly true,Rather true,Exactly true,Rather true,Exactly true,Exactly true,Rather true,Rather true,Exactly true,Exactly true,Some of the time,None of the time,None of the time,None of the time,A little of the time,A little of the time,A little of the time,8,9,9,You were a little better than other workers,28,2,2,2,0,2
138,130,Very frequently,Very frequently,Very frequently,Almost always,Almost always,Very frequently,Almost always,Almost always,Almost always,Almost always,Very frequently,Very frequently,Almost always,Almost always,Almost always,Rarely,Rarely,Sometimes,Very rarely or never,Rarely,Rarely,Rarely,Very rarely or never,Very rarely or never,Rarely,Very rarely or never,Sometimes,Mixed or neither agree nor disagree,Agree,Mixed or neither agree nor disagree,Agree,Slightly agree,Slightly agree,Slightly disagree,Disagree,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not true,Hardly true,Hardly true,Not true,Not true,Hardly true,Hardly true,Hardly true,Hardly true,Hardly true,Most of the time,None of the time,A little of the time,A little of the time,A little of the time,Most of the time,All of the time,9,9,6,You were about average,34,1,2,3,0,2
139,54,Somewhat frequently,Almost never,Very frequently,Somewhat frequently,Somewhat infrequently,Almost always,Somewhat frequently,Somewhat infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Somewhat frequently,Almost always,Somewhat infrequently,Very infrequently,Sometimes,Very rarely or never,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Very rarely or never,Rarely,Very rarely or never,Sometimes,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,Agree,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Rather true,Exactly true,Rather true,Hardly true,Hardly true,Hardly true,Hardly true,Exactly true,Rather true,Exactly true,All of the time,None of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,3,8,9,You were a lot better than other workers,23,1,1,3,0,2
141,109,Very infrequently,Somewhat infrequently,Very frequently,Almost never,Somewhat frequently,Almost always,Very infrequently,Very infrequently,Very infrequently,Very infrequently,Very frequently,Almost never,Somewhat frequently,Somewhat infrequently,Almost never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Sometimes,Very rarely or never,Sometimes,Rarely,Slightly agree,Agree,Agree,Slightly agree,Strongly agree,Agree,Mixed or neither agree nor disagree,Agree,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Rather true,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Rather true,Exactly true,Hardly true,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,None of the time,7,8,9,You were somewhat better than other workers,33,2,2,3,0,2
143,6,Somewhat frequently,Very infrequently,Almost never,Very frequently,Somewhat infrequently,Almost always,Somewhat infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Almost always,Somewhat frequently,Almost always,Somewhat frequently,Somewhat infrequently,Very often or always,Sometimes,Very often or always,Very often or always,Very often or always,Very often or always,Often,Very often or always,Very often or always,Sometimes,Very often or always,Very often or always,Agree,Agree,Agree,Slightly agree,Agree,Mixed or neither agree nor disagree,Strongly agree,Agree,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Rather true,Some of the time,A little of the time,Most of the time,A little of the time,A little of the time,Some of the time,None of the time,7,8,7,You were about average,37,2,1,4,0,2
144,6,Somewhat infrequently,Very infrequently,Very infrequently,Very frequently,Somewhat infrequently,Very frequently,Almost never,Very infrequently,Very infrequently,Somewhat frequently,Somewhat frequently,Almost never,Somewhat frequently,Somewhat infrequently,Very infrequently,Often,Often,Often,Often,Often,Often,Very often or always,Very often or always,Very often or always,Often,Often,Very often or always,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Exactly true,Exactly true,Exactly true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Rather true,A little of the time,Some of the time,Some of the time,A little of the time,A little of the time,None of the time,None of the time,7,7,5,You were a little worse than other workers,37,2,1,4,1,2
145,63,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Somewhat infrequently,Very infrequently,Very infrequently,Almost never,Very frequently,Very infrequently,Very infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Agree,Agree,Mixed or neither agree nor disagree,Agree,Agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Rather true,Rather true,Not true,Not true,Hardly true,Hardly true,Rather true,Hardly true,Hardly true,Hardly true,Most of the time,None of the time,None of the time,Some of the time,A little of the time,A little of the time,A little of the time,7,8,7,You were somewhat better than other workers,29,1,1,4,0,2
146,63,Somewhat infrequently,Almost never,Very infrequently,Almost always,Very frequently,Almost never,Very infrequently,Almost always,Almost always,Very frequently,Very infrequently,Almost never,Very frequently,Very frequently,Very infrequently,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Mixed or neither agree nor disagree,Slightly agree,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Rather true,Rather true,Not true,Rather true,Hardly true,Hardly true,Rather true,Hardly true,Hardly true,Hardly true,A little of the time,Most of the time,Some of the time,Most of the time,Most of the time,Most of the time,A little of the time,8,7,5,You were somewhat worse than other workers,29,1,1,4,1,2
148,38,Somewhat frequently,Very infrequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Very infrequently,Somewhat frequently,Somewhat infrequently,Very frequently,Almost always,Somewhat infrequently,Very frequently,Somewhat infrequently,Almost never,Very often or always,Often,Often,Sometimes,Very often or always,Sometimes,Very often or always,Very often or always,Very often or always,Very often or always,Sometimes,Very often or always,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Rather true,Exactly true,Exactly true,All of the time,A little of the time,None of the time,Some of the time,Most of the time,None of the time,A little of the time,9,10,10,You were somewhat better than other workers,26,2,1,1,0,2
149,96,Somewhat infrequently,Very infrequently,Very infrequently,Very frequently,Somewhat infrequently,Almost always,Somewhat infrequently,Very infrequently,Somewhat frequently,Very infrequently,Very infrequently,Almost never,Somewhat frequently,Very infrequently,Almost never,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Very often or always,Very often or always,Sometimes,Sometimes,Often,Slightly agree,Slightly disagree,Agree,Slightly agree,Agree,Slightly agree,Mixed or neither agree nor disagree,Agree,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Rather true,Rather true,Exactly true,Hardly true,Rather true,Rather true,Rather true,Rather true,Hardly true,Hardly true,Most of the time,Some of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,8,8,8,You were about average,49,2,2,4,0,2
150,35,Almost never,Very infrequently,Somewhat frequently,Almost always,Almost always,Somewhat frequently,Almost always,Almost always,Almost always,Somewhat frequently,Very frequently,Almost never,Almost always,Very frequently,Somewhat frequently,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very rarely or never,Sometimes,Slightly agree,Slightly agree,Disagree,Agree,Strongly disagree,Slightly disagree,Strongly disagree,Agree,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Exactly true,Exactly true,Not true,Not true,Rather true,Rather true,Hardly true,Hardly true,Hardly true,Exactly true,Most of the time,A little of the time,None of the time,Some of the time,Most of the time,None of the time,Some of the time,7,8,8,You were a little better than other workers,35,2,2,3,0,2
151,131,Somewhat frequently,Very frequently,Almost always,Somewhat frequently,Somewhat frequently,Very frequently,Somewhat frequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Very frequently,Very infrequently,Somewhat frequently,Somewhat frequently,Somewhat infrequently,Often,Sometimes,Very often or always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Mixed or neither agree nor disagree,Slightly disagree,Slightly agree,Slightly agree,Mixed or neither agree nor disagree,Mixed or neither agree nor disagree,Slightly agree,Slightly agree,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Rather true,Rather true,Hardly true,Rather true,Rather true,Rather true,Exactly true,Exactly true,Exactly true,Exactly true,Most of the time,Some of the time,None of the time,None of the time,A little of the time,A little of the time,Some of the time,7,8,7,You were a little better than other workers,29,2,1,2,0,2
